
########################################################################################################################################

Country,Year,Calidad regulatoria: estimación,Efectividad del gobierno: estimación,"PIB, PPA (dólares internacionales constantes de 2021)",Población urbana (% de la población total),"PIB, PPA (dólares internacionales constantes de 2021)_log",Población urbana (% de la población total)_minmax,Efectividad del gobierno: estimación_std,Calidad regulatoria: estimación_std
Indonesia,2021,0.287561029195786,0.346443444490433,3530623140454.75,57.29,12.54785136334186,0.5729,-0.16326237643063296,-0.21439737238246592
Indonesia,2022,0.205959960818291,0.436147511005402,3718008116107.65,57.934,12.570310333466368,0.57934,-0.08240747584542824,-0.2909796352507847
Japón,2020,1.3470870256424,1.5473005771637,5434595763518.57,91.782,12.735167245901275,0.91782,0.9191320773718451,0.7799633631942509
Japón,2021,1.36984014511108,1.36116814613342,5573684472783.45,91.867,12.74614237958948,0.9186700000000001,0.7513613196869144,0.8013170710668464
Japón,2022,1.43877255916595,1.61941540241241,5626898497240.5,91.955,12.750269081053139,0.91955,0.984132887844923,0.8660098546083146
Kenia,2020,-0.51719057559967,-0.399473369121552,264084005302.165,27.995,11.42174209821968,0.27995000000000003,-0.8355956624513464,-0.9696534023285637
Kenia,2021,-0.460586369037628,-0.325909495353699,284129273925.386,28.493,11.453515981522065,0.28492999999999996,-0.7692887498302808,-0.9165305901818732
Kenia,2022,-0.380829960107803,-0.329533219337463,297937902775.433,29.002,11.474125756385744,0.29002,-0.772554999107916,-0.8416795325236441
México,2020,-0.0129100447520614,-0.27033868432045,2500831227910.73,80.731,12.398084383749756,0.80731,-0.719199912433118,-0.4963882240579604
México,2021,-0.251374453306198,-0.3435437977314,2652093590665.91,81.016,12.423588845974441,0.8101600000000001,-0.7851834558456487,-0.7201860784702148
México,2022,-0.148309499025345,-0.281723529100418,2749932269528.65,81.3,12.439321997345983,0.813,-0.7294616600731617,-0.6234600480617164
Nigeria,2020,-1.02443432807922,-1.14378702640533,1157867757369.25,51.958,12.063658960493335,0.5195799999999999,-1.5064839410094595,-1.4456995517612679
Nigeria,2021,-0.944378197193146,-1.02695763111115,1200097354375.41,52.746,12.07921647834219,0.52746,-1.401179582924821,-1.370567206295204
Nigeria,2022,-1.15594470500946,-1.04151690006256,1239120696928.78,53.521,12.093113611023043,0.53521,-1.4143026027542853,-1.5691214928735109
Países Bajos,2020,1.74825215339661,1.8052179813385,1130272688841.59,92.236,12.05318323372468,0.9223600000000001,1.1516063328200932,1.1564551650558612
Países Bajos,2021,1.73918282985687,1.72513651847839,1201217992333.65,92.572,12.079621828616133,0.92572,1.0794247810819513,1.1479436426803802
Países Bajos,2022,1.71227204799652,1.57889866828918,1261365795152.49,92.886,12.100841049919149,0.9288599999999999,0.9476130662042364,1.1226879859665808
